generated_at,sku_id,recommended_price,ml_price,blended_price,confidence,detected_flash_sale,base_cost
2026-04-21T16:35:56.869147+00:00,SKU-1001,1846.47,1952.53,1846.47,0.98,0,1099.0
2026-04-21T16:36:06.169412+00:00,SKU-1001,1824.11,1920.58,1824.11,0.98,0,1099.0
2026-04-21T16:36:09.061906+00:00,SKU-1001,1830.16,1929.23,1830.16,0.98,0,1099.0
2026-04-21T16:36:12.102664+00:00,SKU-1001,1726.65,1781.35,1726.65,0.98,0,1099.0
2026-04-21T16:36:16.456700+00:00,SKU-1001,1809.18,1899.25,1809.18,0.98,0,1099.0
2026-04-21T16:36:19.487604+00:00,SKU-1001,1683.61,1900.91,1810.33,0.98,0,1099.0
2026-04-21T16:36:21.447530+00:00,SKU-1001,1683.22,1900.31,1809.91,0.98,0,1099.0
2026-04-21T16:36:21.965440+00:00,SKU-1001,1617.1,1798.74,1738.82,0.98,0,1099.0
2026-04-21T16:36:22.727797+00:00,SKU-1001,1617.1,1798.74,1738.82,0.98,0,1099.0
2026-04-21T16:36:25.535797+00:00,SKU-1001,1688.4,1908.26,1815.48,0.98,0,1099.0
2026-04-21T16:36:27.590880+00:00,SKU-1001,1688.87,1908.98,1815.99,0.98,0,1099.0
2026-04-21T16:36:28.254023+00:00,SKU-1001,1830.86,1918.78,1822.84,0.98,0,1099.0
2026-04-21T16:36:34.377046+00:00,SKU-1001,118692.0,2235.42,2044.5,0.98,0,109900.0
2026-04-21T16:36:46.348417+00:00,SKU-1001,118702.8,2235.42,2044.5,0.98,0,109910.0
2026-04-21T16:44:11.552598+00:00,SKU-1001,1846.47,1952.53,1846.47,0.98,0,1099.0
2026-04-21T16:44:21.857252+00:00,SKU-1001,1720.19,1772.13,1720.19,0.98,0,1099.0
2026-04-21T16:44:24.992938+00:00,SKU-1001,1721.57,1774.09,1721.57,0.98,0,1099.0
2026-04-21T16:44:28.848864+00:00,SKU-1001,1773.28,1847.97,1773.28,0.98,0,1099.0
2026-04-21T16:44:32.162255+00:00,SKU-1001,1796.95,1881.79,1796.95,0.98,0,1099.0
2026-04-21T16:44:34.207941+00:00,SKU-1001,1798.55,1884.07,1798.55,0.98,0,1109.0
2026-04-21T16:44:34.739059+00:00,SKU-1001,1804.9,1893.15,1804.9,0.98,0,1129.0
2026-04-21T16:44:35.259757+00:00,SKU-1001,1813.52,1905.46,1813.52,0.98,0,1149.0
2026-04-21T16:44:35.850007+00:00,SKU-1001,1811.27,1902.24,1811.27,0.98,0,1169.0
2026-04-21T16:44:53.610970+00:00,SKU-1001,1806.22,1895.02,1806.22,0.98,0,1169.0
2026-04-21T16:48:43.383478+00:00,SKU-1001,1846.47,1952.53,1846.47,0.98,0,1099.0
2026-04-21T16:48:45.430289+00:00,SKU-1001,1846.47,1952.53,1846.47,0.98,0,1099.0
2026-04-21T16:48:50.348704+00:00,SKU-1001,1843.94,1948.91,1843.94,0.98,0,1099.0
2026-04-21T16:48:55.262242+00:00,SKU-1001,1936.2,2080.72,1936.2,0.98,0,1099.0
2026-04-21T16:49:01.321018+00:00,SKU-1001,1940.43,2086.75,1940.43,0.98,0,1099.0
2026-04-21T16:49:02.387350+00:00,SKU-1001,1964.07,2120.52,1964.07,0.98,0,1099.0
2026-04-21T16:49:09.054868+00:00,SKU-1005,1964.07,2120.52,1964.07,0.98,0,1099.0
2026-04-21T16:49:12.592472+00:00,SKU-1005,1962.94,2118.91,1962.94,0.98,0,1099.0
